,Unnamed: 0,disney plus_flatrate,adult,original_language,amazon prime video_flatrate,genre_ids,google play movies_rent,original_title,netflix_flatrate,kr_theater_note,release_date,popularity,id,overview,vote_average,wavve_buy,google play movies_buy,title,wavve_flatrate,poster_path,wavve_rent,kr_digital_date,netflix standard with ads_flatrate,tving_flatrate,backdrop_path,watcha_flatrate,softcore,video,kr_digital_note,kr_theater_date,vote_count,apple tv_flatrate,filmbox+_flatrate,crunchyroll_flatrate,sun nxt_flatrate,mubi_flatrate,movieme_rent,global_theater_date,global_digital_date
3595,3595,0.0,False,fr,0.0,35,0.0,Petaouchnok,0.0,,2022-11-09,0.4547,442617,,4.9,0.0,0.0,Petaouchnok,0.0,/7YcjQ2YVyg9m5P9lYIPLXDVZ3FN.jpg,0.0,,0.0,0.0,/efekNjcxYvbA2gXTyQrbc4Q6mMM.jpg,0.0,False,False,,,50,0,0,0,0,0,0,2022-11-09,2023-03-09
3596,3596,0.0,False,en,0.0,28|36,0.0,Viking: Bloodlust,0.0,,2023-04-21,0.4006,1049951,,6.931,0.0,0.0,Viking: Bloodlust,0.0,/xveBJmViwHdgjH3UQQmImkHOW7B.jpg,0.0,,0.0,0.0,/zIrkYWqk1nWPjkHmttMoFNkQSWy.jpg,0.0,False,False,,,80,0,0,0,0,0,0,,2023-04-21
3597,3597,0.0,False,es,0.0,28,0.0,La princesa,0.0,,2022-02-01,0.3219,1008779,,7.6,0.0,0.0,La princesa,0.0,/ksxiXqwPuEjh3gct1zUpyzNoQFt.jpg,0.0,,0.0,0.0,/iGHFjqxH5c8zRibnZbh9qEYTBho.jpg,0.0,False,False,,,105,0,0,0,0,0,0,2022-02-01,2022-08-05
3598,3598,0.0,False,en,0.0,99,0.0,This Place Rules,0.0,,2022-12-30,0.5809,1024433,,6.954,0.0,0.0,This Place Rules,0.0,/9Kml8c7L1IySs1g8Q9v8l1EPS1J.jpg,0.0,,0.0,0.0,/xqP1GCgijXQol2JFrAFFt5jixJI.jpg,0.0,False,False,,,76,0,0,0,0,0,0,,2022-12-30
3599,3599,0.0,False,fr,0.0,10749|35,0.0,Tendre et saignant,0.0,,2022-01-19,0.3594,757341,,5.2,0.0,0.0,Tendre et saignant,0.0,/vBMlMuGMQw5Q6XdpEyo0ThJ9r7Z.jpg,0.0,,0.0,0.0,/pGYjXajoHbBhEz3xdHpTHvrrE6i.jpg,0.0,False,False,,,60,0,0,0,0,0,0,2022-01-19,2022-05-18
3600,3600,0.0,False,it,0.0,35|18,0.0,Grazie ragazzi,0.0,,2023-01-12,0.3624,919950,,7.047,0.0,0.0,Grazie ragazzi,0.0,/7vykcxsJeVVEcrrmFORF519Di1A.jpg,0.0,,0.0,0.0,/3OODjz1SnzEXuJIVNkVU3MixaWF.jpg,0.0,False,False,,,182,0,0,0,0,0,0,2023-01-12,
3601,3601,0.0,False,it,0.0,35,0.0,Un mondo a parte,0.0,,2024-03-28,0.6467,1109306,,6.491,0.0,0.0,Un mondo a parte,0.0,/f5ZibJ7crzGLLQ5AygBexzQMtR4.jpg,0.0,,0.0,0.0,/2CtKnSi5SQ3aZc9Af25bsVv6Rcu.jpg,0.0,False,False,,,232,0,0,0,0,0,0,2024-03-28,
3602,3602,0.0,False,en,0.0,27,0.0,A Wounded Fawn,0.0,,2022-06-11,0.4362,964873,"오랜만에 데이트를 시작하려는 지역 박물관 큐레이터가 매력적인 연쇄 살인범의 표적이 된다. 운명적인 로맨틱 여행이 긴장감 넘치는 추격전으로 변하면서, 두 사람은 살인범 내면의 광기와 맞서 싸워야만 한다.",5.5,0.0,0.0,운디드 폰,0.0,/rE3szsbV1LyZtIfzJadqklnJO7l.jpg,0.0,,0.0,0.0,/sTOBeWipCzZvdXYaZjWdtJ6Kmvl.jpg,0.0,False,False,,,78,0,0,0,0,0,0,,2022-12-01
3603,3603,0.0,False,es,0.0,10749|35,0.0,Nada que ver,0.0,,2023-03-02,0.4311,1087771,,8.292,0.0,0.0,Nada que ver,0.0,/brpncE7IUmXFhZ6kELmyChvHKel.jpg,0.0,,0.0,0.0,/58QeqH3PZzBx6hVUEjfkhQDNmK9.jpg,0.0,False,False,,,172,0,0,0,0,0,0,2023-03-02,2023-03-02
3604,3604,0.0,False,de,0.0,27|53|9648|18,1.0,Family Dinner,0.0,Bucheon International Fantastic Film Festival,2022-07-08,0.5699,964825,과체중의 10대 소녀 시미는 체중을 감량하기 위해 전문 영양사이기도 한 그녀의 이모 클라우디아의 농장에서 부활절을 보낸다. 스타 다이어트 강사로 유명한 이모의 도움을 받아 냉정한 다이어트에 돌입한 시미. 그러나 부활절이 다가오면서 시미는 무언가 기이한 일이 진행되고 있음을 느끼기 시작하는데…,5.738,0.0,1.0,패밀리 디너,0.0,/u7wHzSl9U1uxPV8Sfs0VG0PYDk8.jpg,0.0,,0.0,0.0,/5XiW5vZzxOAGUKqI2loJDFE76ms.jpg,0.0,False,False,,2022-07-08,80,0,0,0,0,0,0,2023-01-27,2023-04-07
3605,3605,0.0,False,fr,0.0,35,0.0,Rumba la vie,0.0,,2022-08-24,0.4373,665388,,6.184,0.0,0.0,Rumba la vie,0.0,/66tSxn5ZS6YBUgYN1TUb4KN7V8m.jpg,0.0,,0.0,0.0,/84tJWzhwVNfPnpSFh6DXaCCpk2B.jpg,0.0,False,False,,,117,0,0,0,0,0,0,2022-08-24,2022-12-24
3606,3606,0.0,False,it,0.0,35|36|18,0.0,La stranezza,0.0,,2022-10-27,0.5217,930921,,6.8,0.0,0.0,스트레인지니스,0.0,/gtIhBUq4lnJrZyjuAkshXxW6Txi.jpg,0.0,,0.0,0.0,/pJyGcGcoIEsEXrWxUjoEaUOpRyG.jpg,0.0,False,False,,,355,0,0,0,0,0,0,2022-10-27,2024-02-19
3607,3607,0.0,False,es,0.0,35|10751,0.0,Llenos de gracia,0.0,,2022-06-24,0.4584,954748,,6.5,0.0,0.0,Llenos de gracia,0.0,/hPz9EByDWOqcNQ9IbDMkhif5fnj.jpg,0.0,,0.0,0.0,/ss01gKWFWkUsHSAd88pp7L6Pk9w.jpg,0.0,False,False,,,53,0,0,0,0,0,0,2022-06-24,
3608,3608,0.0,False,es,0.0,35,0.0,Franco Escamilla: Voyerista auditivo,0.0,,2022-10-23,0.4228,1039026,,8.594,0.0,0.0,Franco Escamilla: Voyerista auditivo,0.0,/cLaTeAG7kq4x39MVqbrwGEvzLJ.jpg,0.0,,0.0,0.0,/9LOiFmgn4UHuqNaPfXjXy58YSni.jpg,0.0,False,False,,,90,0,0,0,0,0,0,,2022-10-23
